GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
funding,com.example.funding.service.User,EmailAndPwd,17,0,0,0,7,0,5,0,5,0
funding,com.example.funding.service.User,UserServiceMpl,692,174,77,13,153,31,68,10,26,7
funding,com.example.funding.service.User,LoginInfo,135,0,0,0,50,0,25,0,25,0
funding,com.example.funding.service.User,RegisterInfo,16,27,0,0,8,10,4,5,4,5
funding,com.example.funding.service.User,UserInfo,103,36,0,0,37,10,19,1,19,1
funding,com.example.funding.Util.Redis,FastJsonRedisSerializer,38,13,6,0,8,6,6,2,3,2
funding,com.example.funding.Util.Redis,RedisCache,163,3,6,0,32,1,21,1,18,1
funding,com.example.funding.Util.Exception,BeanException,4,0,0,0,2,0,1,0,1,0
funding,com.example.funding.Util.Exception,EditException,4,0,0,0,2,0,1,0,1,0
funding,com.example.funding.service.Expenditure,ExpenditureInfo,78,93,1,1,29,16,23,2,22,2
funding,com.example.funding.service.Expenditure,ExpenditureServiceMpl,332,3,42,0,75,1,28,1,7,1
funding,com.example.funding.service.GroupApplycation,GroupApplicationServiceMpl,48,3,4,0,13,1,4,1,2,1
funding,com.example.funding.controller,UserCtrl,99,34,0,0,17,8,15,6,15,6
funding,com.example.funding.controller,ExpenditureCtrl,31,3,0,0,6,1,6,1,6,1
funding,com.example.funding.controller,GroupCtrl,81,16,0,0,14,3,14,3,14,3
funding,com.example.funding.controller,ApplicationCtrl,143,3,0,0,25,1,20,1,20,1
funding,com.example.funding.controller,FeedbackCtrl,25,3,0,0,6,1,6,1,6,1
funding,com.example.funding.service.Feedback,FeedbackServiceMpl,108,3,16,0,25,1,13,1,5,1
funding,com.example.funding.config,SaTokenConfigure,135,65,12,0,32,11,18,3,12,3
funding,com.example.funding.config,RedisConfig,0,35,0,0,0,10,0,2,0,2
funding,com.example.funding.config,CorsConfig,0,52,0,0,0,9,0,2,0,2
funding,com.example.funding.service.Group,GroupServiceMpl,411,687,51,53,77,154,41,45,4,30
funding,com.example.funding.service.Group,GroupInfo,115,80,9,5,17,12,17,10,12,8
funding,com.example.funding.service.Group,GroupAppInfoDetail,52,55,0,0,9,10,15,1,15,1
funding,com.example.funding.Util.Handler,ReturnHelper,2,19,1,3,0,5,1,4,0,3
funding,com.example.funding.Util.Handler,GlobalExceptionHandler,96,7,10,0,28,2,10,2,5,2
funding,com.example.funding.Util.Handler,InputChecker,62,37,13,5,14,10,11,4,3,3
funding,com.example.funding,FundingApplication,7,15,0,0,3,5,2,3,2,3
funding,com.example.funding.service.Application,GroupAppInfo,66,0,0,0,14,0,12,0,12,0
funding,com.example.funding.service.Application,ExpendCategory.Office,0,21,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,ExpendCategory.Postage,0,15,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,ExpendCategory.Train,0,9,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,ExpendCategory.Print,0,15,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,AppInfo,173,166,10,6,37,29,46,5,36,2
funding,com.example.funding.service.Application,ExpendCategory.Error,0,9,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,FeedbackInfo,66,0,0,0,14,0,12,0,12,0
funding,com.example.funding.service.Application,AppExcel,275,0,54,0,8,0,44,0,17,0
funding,com.example.funding.service.Application,ExpendInfo,118,146,5,1,15,21,33,2,30,2
funding,com.example.funding.service.Application,ApplicationServiceMpl,1030,716,110,48,231,163,99,30,26,22
funding,com.example.funding.service.Application,ExpendCategory.Maintenance,0,21,0,0,0,2,0,1,0,1
funding,com.example.funding.service.Application,ExpendCategory,4,90,2,32,2,34,2,22,0,2
funding,com.example.funding.bean,Expenditure,72,81,6,2,3,12,7,22,3,22
funding,com.example.funding.bean,Feedback,70,3,4,0,8,1,14,1,12,1
funding,com.example.funding.bean,BaseBean,4,13,0,0,2,5,1,4,1,4
funding,com.example.funding.bean,Group,31,31,3,1,2,6,4,7,2,7
funding,com.example.funding.bean,Application,62,67,6,2,3,10,7,18,3,18
funding,com.example.funding.bean,GroupApplication,53,46,6,2,3,7,7,12,3,12
funding,com.example.funding.bean,User,155,71,9,3,8,15,26,20,20,20
